
序号,测试文本,识别意图,置信度,阈值,状态,实体信息,响应时间
282,烹饪牛排,未识别,40.62%,0.80,未识别,[],14ms
283,帮我烹饪牛排,未识别,65.82%,0.80,未识别,[],16ms
284,做一下牛奶,set_foodtype,99.97%,0.80,已识别,[],14ms
285,煎一个鸡蛋,未识别,64.81%,0.80,未识别,[],13ms
286,帮我烹饪一下腊味排骨锅巴饭,set_foodtype,100.00%,0.80,已识别,[],15ms
287,脆一点,set_taste,99.98%,0.80,已识别,"[{""entity"":""口感"",""start"":0,""end"":1,""confidence_entity"":0.9909883141517639,""value"":""脆"",""extractor"":""DIETClassifier""}]",16ms
288,软糯口味,set_taste,84.77%,0.80,已识别,"[{""entity"":""口感"",""start"":0,""end"":2,""confidence_entity"":0.9607288837432861,""value"":""软糯"",""extractor"":""DIETClassifier""}]",17ms
289,煮的软烂一些,set_taste,99.92%,0.80,已识别,"[{""entity"":""口感"",""start"":2,""end"":4,""confidence_entity"":0.9995397329330444,""value"":""软烂"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",17ms
290,我喜欢有嚼劲点,未识别,52.19%,0.80,未识别,[],17ms
291,口感选择嫩滑,set_taste,99.99%,0.80,已识别,"[{""entity"":""口感"",""start"":4,""end"":5,""confidence_entity"":0.7379530072212219,""value"":""嫩"",""extractor"":""DIETClassifier""}]",13ms
292,选择口感,set_taste,99.99%,0.80,已识别,"[{""entity"":""口感"",""start"":2,""end"":4,""confidence_entity"":0.666192889213562,""value"":""口感"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",13ms
293,牛排烤焦一点,未识别,54.68%,0.80,未识别,"[{""entity"":""火力"",""start"":0,""end"":2,""confidence_entity"":0.24570713937282562,""value"":""牛排"",""extractor"":""DIETClassifier""}]",14ms
294,小米粥煮软烂些,set_taste,99.52%,0.80,已识别,"[{""entity"":""口感"",""start"":0,""end"":3,""confidence_entity"":0.49819812178611755,""value"":""小米粥"",""extractor"":""DIETClassifier""}]",15ms
295,牛腩帮我炖紧实点,未识别,45.95%,0.80,未识别,[],16ms
296,蛋挞焦脆一点,set_taste,99.95%,0.80,已识别,"[{""entity"":""口感"",""start"":2,""end"":4,""confidence_entity"":0.6824830770492554,""value"":""焦脆"",""extractor"":""DIETClassifier""}]",13ms
297,爽滑点的鸡肉,未识别,61.27%,0.80,未识别,[],15ms
298,第五个,select_list_id,99.41%,0.80,已识别,[],16ms
299,选择第五个,select_list_id,99.93%,0.80,已识别,[],16ms
300,我要第六个,未识别,52.00%,0.80,未识别,[],16ms
301,最后一个,set_theme_previous,99.53%,0.80,已识别,[],15ms
302,选择序号,set_category_size,92.91%,0.80,已识别,[],13ms
303,还有多久能做好,remaining_cooking_time_query,100.00%,0.80,已识别,[],14ms
304,烹饪还剩多长时间,remaining_cooking_time_query,99.95%,0.80,已识别,[],13ms
305,还要多久能做好,remaining_cooking_time_query,100.00%,0.80,已识别,[],13ms
306,还要多久能解冻好,remaining_cooking_time_query,99.99%,0.80,已识别,[],15ms
307,还有多久能热好饭,remaining_cooking_time_query,99.99%,0.80,已识别,[],14ms
308,还有多久能热好菜,remaining_cooking_time_query,99.99%,0.80,已识别,[],15ms
309,红烧肉可以吃了吗,remaining_cooking_time_query,99.91%,0.80,已识别,"[{""entity"":""菜品名称"",""start"":0,""end"":3,""confidence_entity"":0.6718422174453735,""value"":""红烧肉"",""extractor"":""DIETClassifier""}]",15ms
310,鸡翅烤好了吗,remaining_cooking_time_query,99.89%,0.80,已识别,"[{""entity"":""品类"",""start"":0,""end"":2,""confidence_entity"":0.8336576223373413,""value"":""鸡翅"",""extractor"":""DIETClassifier""}]",13ms
